Basic Toll;Road pricing type;Toll collection technique;Operation Authority;Relative Investment Cost;Relative Operational Cost;Change in Level of Service;% change of Accidents cost;% change of Air pollution (external) cost;% change of Noise (external) cost;User convenience in using the RP system ;Availability of alternative routes and modes
2;Road Tolls;Booths;Public;3;0,570170957;0,13648965;-0,013893985;-0,13356752;-0,13648965;2;4
2;Road Tolls;Booths;Private;3;0,548950957;0,13648965;-0,013893985;-0,13356752;-0,13648965;2;4
2;Road Tolls;Booths&ETC;Public;3,33;0,337492444;0,133220565;-0,013566902;-0,130529416;-0,133220565;3;4
2;Road Tolls;Booths&ETC;Private;3,33;0,311992444;0,133220565;-0,013566902;-0,130529416;-0,133220565;3;4
2;Road Tolls;ETC;Public;2;0,282790497;0,131536298;-0,01339838;-0,12896398;-0,131536298;4;4
2;Road Tolls;ETC;Private;2;0,272180497;0,131536298;-0,01339838;-0,12896398;-0,131536298;4;4
2;Distance-based;Booths;Public;3;0,570170957;0,13648965;-0,013893985;-0,13356752;-0,13648965;2;4
2;Distance-based;Booths;Private;3;0,548950957;0,13648965;-0,013893985;-0,13356752;-0,13648965;2;4
2;Distance-based;Booths&ETC;Public;3,33;0,337492444;0,132403294;-0,013485132;-0,12976989;-0,132403294;3;4
2;Distance-based;Booths&ETC;Private;3,33;0,311992444;0,132403294;-0,013485132;-0,12976989;-0,132403294;3;4
2;Distance-based;ETC;Public;2;0,282790497;0,13029796;-0,013274479;-0,127813095;-0,13029796;4;4
2;Distance-based;ETC;Private;2;0,272180497;0,13029796;-0,013274479;-0,127813095;-0,13029796;4;4
2;Distance-based;ETC&OVR;Public;3,66;0,296930022;0,130722453;-0,013316953;-0,12820765;-0,130722453;4;4
2;Distance-based;ETC&OVR;Private;3,66;0,285789522;0,130722453;-0,013316953;-0,12820765;-0,130722453;4;4
2;Distance-based;OVR;Public;3;0,319553261;0,13114522;-0,013359254;-0,128600595;-0,13114522;4;4
2;Distance-based;OVR;Private;3;0,307563961;0,13114522;-0,013359254;-0,128600595;-0,13114522;4;4
2;Distance-based;ETC&GPS;Public;3,33;0,397320648;0,131566275;-0,013401383;-0,128991943;-0,131566275;4;4
2;Distance-based;ETC&GPS;Private;3,33;0,382413598;0,131566275;-0,013401383;-0,128991943;-0,131566275;4;4
2;Distance-based;GPS;Public;2;0,475088035;0,131985629;-0,013443342;-0,129381704;-0,131985629;4;4
2;Distance-based;GPS;Private;2;0,457263235;0,131985629;-0,013443342;-0,129381704;-0,131985629;4;4
7;Road Tolls;Booths;Public;3;0,570170957;0,273987353;-0,027645916;-0,261204401;-0,273987353;2;4
7;Road Tolls;Booths;Private;3;0,548950957;0,273987353;-0,027645916;-0,261204401;-0,273987353;2;4
7;Road Tolls;Booths&ETC;Public;3,33;0,337492444;0,268356025;-0,027082854;-0,255981427;-0,268356025;3;4
7;Road Tolls;Booths&ETC;Private;3,33;0,311992444;0,268356025;-0,027082854;-0,255981427;-0,268356025;3;4
7;Road Tolls;ETC;Public;2;0,282790497;0,265361311;-0,026783406;-0,2532035;-0,265361311;4;4
7;Road Tolls;ETC;Private;2;0,272180497;0,265361311;-0,026783406;-0,2532035;-0,265361311;4;4
7;Distance-based;Booths;Public;3;0,570170957;0,273987353;-0,027645916;-0,261204401;-0,273987353;2;4
7;Distance-based;Booths;Private;3;0,548950957;0,273987353;-0,027645916;-0,261204401;-0,273987353;2;4
7;Distance-based;Booths&ETC;Public;3,33;0,337492444;0,266948193;-0,026942088;-0,254675683;-0,266948193;3;4
7;Distance-based;Booths&ETC;Private;3,33;0,311992444;0,266948193;-0,026942088;-0,254675683;-0,266948193;3;4
7;Distance-based;ETC;Public;2;0,282790497;0,2632048;-0,026567779;-0,251203274;-0,2632048;4;4
7;Distance-based;ETC;Private;2;0,272180497;0,2632048;-0,026567779;-0,251203274;-0,2632048;4;4
7;Distance-based;ETC&OVR;Public;3,66;0,296930022;0,263966249;-0,026643919;-0,251909629;-0,263966249;4;4
7;Distance-based;ETC&OVR;Private;3,66;0,285789522;0,263966249;-0,026643919;-0,251909629;-0,263966249;4;4
7;Distance-based;OVR;Public;3;0,319553261;0,264721217;-0,02671941;-0,252609958;-0,264721217;4;4
7;Distance-based;OVR;Private;3;0,307563961;0,264721217;-0,02671941;-0,252609958;-0,264721217;4;4
7;Distance-based;ETC&GPS;Public;3,33;0,397320648;0,265469801;-0,026794262;-0,253304352;-0,265469801;4;4
7;Distance-based;ETC&GPS;Private;3,33;0,382413598;0,265469801;-0,026794262;-0,253304352;-0,265469801;4;4
7;Distance-based;GPS;Public;2;0,475088035;0,266212096;-0,026868485;-0,253992898;-0,266212096;4;4
7;Distance-based;GPS;Private;2;0,457263235;0,266212096;-0,026868485;-0,253992898;-0,266212096;4;4
